ID;PESO;C1;C2;C3;C4;C4_1;C6;P1001_1;P1001_2;PCAV1220231;P1002;P1005_1;P1003;P1005_2;P1004;P1005_3;P1012;P1013;P1013_1;P1014;P1015;P1016;BS58000;BS58000B;BS58000C;P11017;PBARDIC24_1_1;PBARDIC24_1_2;PBARDIC24_1_3;PBARDIC24_1_4;PBARDIC24_1_5;PBARDIC24_1_6;PBARDIC24_1_7;PBARDIC24_1_8;PBARDIC24_1_V2_1;PBARDIC24_1_V2_2;PBARDIC24_1_V2_3;PBARDIC24_1_V2_4;PBARDIC24_1_V2_5;PBARDIC24_1_V2_6;PBARDIC24_2;PBARDIC24_3;PBARDIC24_4_1;PBARDIC24_4_2;PBARDIC24_4_3;PBARDIC24_4_4;PBARDIC24_4_5;PBARDIC24_4_6;PBARDIC24_4_7;PBARDIC24_4_8;PBARDIC24_4_9;PBARDIC24_5;PBARDIC24_6;PBARDIC24_7;PBARDIC24_8_1;PBARDIC24_8_2;PBARDIC24_8_3;PBARDIC24_8_4;PBARDIC24_8_5;PBARDIC24_8_6;PBARDIC24_8_98;PBARDIC24_9;PBARDIC24_10;PBARDIC24_11_1;PBARDIC24_11_2;PBARDIC24_11_3;PBARDIC24_11_4;P2003;BVPCE100000;P2002_CONOC_1;P2002_VAL_1;P2002_CONOC_2;P2002_VAL_2;P2002_CONOC_3;P2002_VAL_3;P2002_CONOC_4;P2002_VAL_4;P2002_CONOC_8;P2002_VAL_8;P1018;P200110;P2005;P2007;P2008A;P2105A;BCHVC66000_1;BCHVC66000_2;BCHVC66000_3;BCHVC66000_4;BCHVC66000_5;BCHVC66000_6;BCHVC66000_7;BCHVC66000_8;BCHVC66000_9;BCHVC66000_10;BCHVC66000_11;BCHVC66000_12;BCHVC66000_15;BCHVC66000_16;BCHVC66000_13;BCHVC66000_98;BCHVC66000_99;BCHVC67000;BCHVC68000;P221009;P2009;P2010;P2012;P2013;P2014;P2015
463;1,18528996413301;29;4;2;51;4;1;9;8;8;820;10;300;10;300;10;2;2;1;2;2;1;1;1;1;2;9;5;5;5;5;9;1;7;10;9;9;5;5;3;2;2; ; ; ; ; ; ; ; ; ;4;10;3;0;0;1;0;0;0;0;2;2;98;1;1;2;98;98;1;7;2; ;2; ;2; ;2; ;1;3;8;11;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;3;2;4;98;10;1;4
479;1,18528996413301;29;4;1;51;4;1;8;8;8;800;10;300;10;300;10;2;3;1;1;1;1;3;3;1;2;7;1;1;1;7;9;1;7;8;10;10;5;7;10;2;1;3;1;3;1;1;2;2;3;3;2;10;2;1;0;0;0;0;0;0;1;1;2;2;2;1;7;7;1;10;1;5;2; ;2; ;2; ;1;5;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;1;4;3;9;1;3
580;1,25577084459793;41;2;2;39;3;1;7;7;7;800;10;300;10;300;10;4;2;2;2;1;1;1;1;1;2;6;5;5;5;5;8;6;6;5;7;7;5;5;5;1;2; ; ; ; ; ; ; ; ; ;4;5;2;0;1;0;0;0;0;0;2;2;1;1;1;1;5;5;2; ;2; ;2; ;2; ;2; ;3;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;3;3;3;1;5;7; 
776;,873675494934504;14;5;2;78;7;1;8;8;6;300;4;9500; ;300;4;2;3;3;2;2;2;1;3;1;4;9;0;4;6;6;8;4;7;7;8;7;5;6;7;1;1;1;1;2;3;98;98;98;98;98;2;4;99;1;0;0;0;0;0;0;1;2;2;1;1;1;7;8;1;8;1;3;2; ;2; ;2; ;2;5;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;4;3;9;7; 
870;1,07140107501517;11;4;1;50;4;1;10;7;8;809;98;9500; ;300;3;2;2;2;2;2;2;3;2;1;2;10;3;3;3;5;9;8;7;7;9;9;3;5;4;1;1;1;98;2;98;1;98;2;1;98;1;1;2;1;1;1;1;1;0;0;1;2;2;1;1;1;6;7;1;8;1;5;1;5;1;5;2; ;2;4;1;1;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;4;1;4;3;10;1;1
908;,942433030990186;18;1;2;84;7;1;0;10;6;1100;10;201;1;300;10;2;2;1;5;2;3;3;3;2;5;6;1;1;1;2;5;1;1;5;5;5;1;1;1;1;98; ; ; ; ; ; ; ; ; ;5;9;5;0;0;0;0;0;0;1;3;2;1;1;2;1;99;99;1;7;2; ;2; ;2; ;2; ;2;5;10;11;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;5;3;9;2; 
945;1,25577084459793;41;3;1;85;7;1;4;7;7;8043;10;9500; ;300;10;2;3;2;3;3;2;3;3;1;4;7;1;5;6;6;8;8;6;6;8;8;4;3;5;1;2; ; ; ; ; ; ; ; ; ;4;5;3;0;1;0;1;0;0;0;1;1;2;2;2;2;5;6;1;7;1;4;2; ;2; ;1;3;2;5;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;1;3;3;4;2; 
1158;1,18528996413301;29;4;1;73;6;1;7;7;8;809;1;9500; ;300;1;2;3;3;3;2;2;3;3;98;4;8;0;2;3;4;5;7;5;4;8;7;0;5;7;2;2; ; ; ; ; ; ; ; ; ;4;8;4;0;0;0;1;0;0;0;2;2;98;2;1;1;8;8;1;6;2; ;1;6;2; ;2; ;2;5;10;6;1;98;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;2;5;3;4;1;3
1181;1,18528996413301;29;3;2;21;1;1;4;7;6;300;10;9500; ;300;3;2;3;2;2;2;2;1;3;1;2;7;2;5;5;5;8;6;6;5;7;7;3;4;4;2;2; ; ; ; ; ; ; ; ; ;4;5;3;1;0;0;0;0;0;0;1;2;2;1;2;1;7;8;1;7;2; ;2; ;2; ;2; ;2;5;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;2;2;3;10;5; 
1245;,783474421225984;23;1;2;89;7;1;8;9;9;300;10;8024;10;300;10;2;1;2;2;2;1;1;3;1;2;8;0;0;7;9;10;9;10;10;10;9;0;5;7;1;2; ; ; ; ; ; ; ; ; ;4;1;3;0;1;0;0;0;0;0;2;1;2;1;1;1;7;8;1;9;1;4;2; ;2; ;2; ;1;5;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;4;1;1;3;3;10;2; 
